aX,aY,aZ,gX,gY,gZ
-1.474,-0.449,3.220,-115.710,475.580,30.520
-1.407,-0.469,3.274,-96.600,393.120,21.000
-1.257,-0.505,3.376,-89.810,305.130,0.840
-1.158,-0.518,3.440,-72.590,256.060,-18.900
-1.003,-0.519,3.447,-66.430,158.970,-28.980
-0.866,-0.481,3.373,-68.460,67.830,-43.680
-0.800,-0.446,3.146,-46.760,23.800,-52.920
-0.764,-0.353,3.005,-23.520,-52.780,-58.030
-0.764,-0.240,2.709,-19.320,-114.660,-67.130
-0.726,-0.183,2.413,-11.480,-140.770,-69.930
-0.631,-0.081,2.273,-2.240,-184.240,-71.260
-0.566,0.006,2.024,4.620,-222.320,-65.170
-0.488,0.053,1.778,24.360,-235.550,-58.940
-0.435,0.104,1.682,28.700,-255.360,-47.880
-0.389,0.126,1.476,18.270,-259.490,-36.960
-0.244,0.128,1.269,24.220,-267.820,-32.410
-0.121,0.145,1.186,27.090,-266.840,-21.700
-0.089,0.160,1.015,29.260,-267.400,-9.240
-0.063,0.160,0.794,31.990,-254.170,-3.360
-0.006,0.146,0.809,25.200,-238.700,6.230
0.010,0.136,0.647,29.890,-228.760,15.120
0.016,0.119,0.595,30.030,-202.230,18.410
0.013,0.091,0.505,27.930,-172.550,24.360
0.020,0.070,0.428,31.920,-156.870,26.530
0.042,0.029,0.416,31.430,-127.120,29.260
0.041,-0.011,0.389,29.260,-96.040,28.980
0.048,-0.031,0.365,27.440,-80.360,28.070
0.044,-0.069,0.362,28.700,-49.910,23.590
0.025,-0.096,0.378,26.810,-34.230,16.030
0.005,-0.107,0.422,19.600,-4.480,12.040
0.012,-0.125,0.453,17.080,20.230,6.020
0.014,-0.148,0.550,12.950,31.010,1.050
-0.001,-0.158,0.732,3.850,49.630,-1.610
0.008,-0.181,0.707,0.980,64.050,-7.140
0.019,-0.190,0.825,-0.910,68.040,-11.830
0.041,-0.206,0.873,-0.210,72.520,-14.560
0.049,-0.226,0.962,1.050,73.710,-22.050
0.042,-0.230,1.055,0.000,73.010,-27.230
0.017,-0.218,1.082,-3.640,71.540,-38.500
0.024,-0.202,1.151,-6.510,68.600,-52.850
-0.013,-0.172,1.186,-16.310,64.540,-59.220
0.010,-0.115,1.212,-19.460,58.100,-71.330
0.072,-0.058,1.269,-22.610,51.450,-80.850
0.168,-0.023,1.278,-23.660,35.210,-84.700
0.174,0.063,1.270,-26.250,19.600,-89.880
0.170,0.236,1.217,-22.890,12.390,-92.120
0.142,0.206,1.189,-23.870,2.450,-91.630
0.100,0.300,1.124,-23.310,-3.640,-86.940
0.087,0.341,1.078,-22.960,-5.390,-81.970
0.115,0.407,1.058,-18.340,-9.940,-67.270
0.125,0.447,1.029,-16.310,-11.690,-47.950
0.110,0.452,1.003,-12.390,-14.000,-38.010
0.113,0.458,0.992,-5.390,-14.980,-15.680
0.109,0.425,0.973,0.910,-15.120,6.720
0.080,0.388,0.994,12.670,-14.910,15.890
0.040,0.279,1.008,14.350,-13.930,29.820
0.011,0.170,1.036,14.490,-12.670,41.230
-0.012,0.108,1.046,21.560,-11.760,45.990
0.000,-0.019,1.104,22.820,-14.070,49.700
0.009,-0.079,1.144,22.540,-15.470,46.550
0.023,-0.179,1.153,24.010,-19.880,42.840
0.039,-0.247,1.172,22.260,-23.870,31.430
0.052,-0.269,1.163,18.830,-25.900,24.990
0.061,-0.296,1.161,18.410,-29.750,11.620
0.075,-0.304,1.161,17.850,-32.760,-3.150
0.120,-0.295,1.120,9.870,-37.800,-10.500
0.143,-0.245,1.084,6.650,-38.570,-23.450
0.133,-0.151,1.000,-5.320,-36.960,-33.390
0.119,-0.100,0.931,-12.810,-31.360,-35.980
0.143,-0.002,0.901,-12.880,-25.340,-36.050
0.169,0.066,0.887,-3.850,-23.240,-31.570
0.149,0.097,0.887,-3.710,-18.480,-28.770
0.098,0.144,0.859,-3.780,-8.610,-22.470
0.086,0.164,0.867,-5.390,-3.360,-14.350
0.085,0.193,0.883,-7.350,5.880,-9.380
0.085,0.193,0.932,-6.300,12.740,1.540
0.094,0.175,1.009,-5.880,14.070,6.370
0.117,0.113,1.046,-0.560,13.930,15.610
0.104,0.037,1.118,4.270,11.970,20.440
0.051,0.001,1.173,2.590,9.730,21.490
-0.007,-0.059,1.184,3.290,6.580,20.790
-0.022,-0.080,1.220,2.590,4.620,21.280
-0.022,-0.120,1.229,9.590,-1.260,21.910
-0.020,-0.163,1.254,15.960,-9.800,22.750
0.011,-0.197,1.302,19.390,-15.540,2.800
0.041,-0.246,1.292,22.050,-26.600,13.650
0.036,-0.265,1.286,19.600,-31.220,3.570
0.018,-0.265,1.239,13.650,-38.290,-1.820
0.041,-0.244,1.213,14.910,-45.360,-12.460
0.073,-0.189,1.171,10.150,-47.110,-22.050
0.162,-0.159,1.101,11.690,-54.250,-26.110
0.203,-0.081,1.069,9.800,-59.150,-32.830
0.199,0.001,0.979,6.020,-60.200,-38.290
0.191,0.042,0.940,1.190,-58.310,-40.460
0.180,0.128,0.875,-3.570,-52.710,-40.880
0.169,0.166,0.814,-5.530,-49.140,-37.030
0.147,0.229,0.802,-13.720,-38.150,-34.160
0.142,0.273,0.774,-14.210,-27.440,-25.970
0.128,0.288,0.796,-15.190,-22.610,-3.570
0.090,0.304,0.802,-23.800,-10.780,-11.900
0.092,0.291,0.825,-21.980,-6.370,-2.380
0.114,0.281,0.893,-35.560,2.240,2.800
0.087,0.228,0.903,-30.590,5.950,13.300
0.086,0.143,1.025,-21.770,7.420,19.040
0.061,0.103,1.067,-23.590,8.330,20.860
-0.009,0.030,1.126,-16.660,7.840,21.000
-0.053,0.006,1.207,-17.430,8.540,18.760
-0.023,-0.066,1.263,-21.420,3.360,13.650
-0.215,-0.082,1.308,-22.960,1.330,7.910
-0.179,-0.102,1.386,-18.550,-2.870,1.470
-0.250,-0.104,1.422,-31.010,-5.040,-10.920
-0.301,-0.092,1.488,-37.590,-6.020,-26.670
-0.346,-0.079,1.566,-53.480,-10.710,-34.370
-0.352,-0.026,1.629,-94.430,-20.300,-46.900
-0.362,-0.023,1.702,-126.420,-23.450,-64.120
-0.378,0.011,1.749,-82.880,-40.250,-66.780
-0.386,0.100,1.771,-74.060,-64.050,-70.910
-0.386,0.164,1.848,-86.730,-74.830,-73.080
-0.371,0.199,1.870,-98.420,-99.680,-73.080

-3.485,1.744,-0.245,-540.050,1071.490,-960.680
-3.470,1.868,-0.333,-616.770,1129.800,-859.810
-3.484,2.029,-0.134,-610.540,1200.710,-800.170
-3.534,2.150,0.329,-667.800,1273.790,-662.760
-3.460,2.179,0.442,-866.600,1323.630,-499.380
-3.369,2.096,0.471,-950.460,1410.710,-417.830
-3.333,1.912,0.704,-964.460,1453.830,-253.820
-3.276,1.812,0.881,-945.420,1463.210,-101.150
-3.285,1.590,0.935,-843.990,1466.920,-17.150
-3.346,1.343,1.210,-788.200,1444.450,122.780
-3.459,1.204,1.589,-716.590,1427.720,184.660
-3.527,0.887,1.759,-700.490,1386.560,292.460
-3.545,0.524,1.979,-676.480,1342.180,377.510
-3.572,0.334,2.264,-599.620,1289.470,409.570
-3.597,-0.054,2.418,-536.760,1213.450,454.090
-3.576,-0.431,2.760,-513.240,1118.600,483.840
-3.325,-0.629,3.095,-450.240,1071.840,493.710
-2.830,-1.069,3.260,-333.970,933.940,496.230
-2.595,-1.507,3.614,-275.590,856.870,464.310
-2.302,-1.688,3.855,-211.680,702.240,439.040
-2.177,-1.974,3.894,-146.090,557.550,379.610
-2.062,-2.215,3.986,-120.890,485.660,307.510
-1.775,-2.312,4.042,-64.750,337.400,266.210
-1.655,-2.403,4.016,-45.640,192.710,181.230
-1.649,-2.378,3.817,-9.730,127.260,97.860
-1.675,-2.312,3.550,20.440,10.150,58.450
-1.659,-2.060,3.352,23.590,-90.510,-12.670
-1.626,-1.781,2.968,18.830,-134.540,-69.160
-1.520,-1.609,2.774,23.380,-214.970,-93.520
-1.460,-1.338,2.404,26.670,-280.980,-134.120
-1.451,-1.211,2.049,34.370,-307.860,-163.800
-1.341,-0.973,1.880,44.170,-346.710,-175.000
-1.120,-0.788,1.606,49.560,-374.290,-193.270
-0.960,-0.710,1.429,23.660,-386.680,-221.900
-0.915,-0.576,1.251,25.130,-405.720,-225.610
-0.910,-0.358,0.945,39.340,-410.480,-230.370
-0.878,-0.284,0.743,51.100,-406.280,-232.330
-0.776,-0.183,0.654,40.950,-388.990,-240.800
-0.747,-0.059,0.493,34.650,-379.540,-245.560
-0.707,0.005,0.279,26.740,-356.510,-244.510
-0.585,0.083,0.096,94.150,-313.880,-241.850
-0.580,0.189,0.292,73.360,-302.610,-238.560
-0.422,0.193,0.106,44.030,-274.190,-241.080
-0.316,0.280,0.070,48.020,-241.990,-239.610
-0.301,0.398,0.037,34.930,-224.700,-231.490
-0.383,0.452,-0.011,12.950,-184.100,-225.890
-0.437,0.566,-0.106,1.400,-129.570,-207.130
-0.406,0.619,-0.179,-12.250,-99.190,-174.370
-0.296,0.712,-0.174,-5.880,-46.760,-153.090
-0.242,0.750,-0.126,-1.610,-3.710,-110.740
-0.235,0.749,-0.087,7.910,18.060,-54.460
-0.236,0.737,-0.046,4.480,61.880,-52.500
-0.234,0.680,0.072,-2.450,100.520,-22.750
-0.260,0.645,0.185,-11.130,122.290,-9.800
-0.302,0.565,0.253,-8.680,157.850,15.750
-0.322,0.478,0.405,-6.020,172.480,39.830
-0.376,0.432,0.546,-0.630,196.980,50.540
-0.397,0.329,0.619,-4.760,221.130,68.180
-0.417,0.238,0.750,-12.880,231.070,84.630
-0.414,0.195,0.822,-9.940,242.270,93.730
-0.361,0.090,0.978,-5.250,240.590,110.320
-0.315,0.020,1.135,4.480,236.950,115.570
-0.200,-0.129,1.211,2.240,226.520,113.680
-0.023,-0.254,1.347,-0.140,209.650,103.320
-0.075,-0.298,1.453,-3.780,199.570,78.400
-0.027,-0.370,1.498,-8.610,178.150,80.360
-0.018,-0.413,1.577,-12.180,148.750,63.770
-0.025,-0.420,1.623,-16.870,142.800,56.350
-0.031,-0.427,1.643,-22.960,120.540,42.420
-0.029,-0.423,1.684,-28.210,109.620,32.340
-0.006,-0.417,1.703,-32.200,83.720,29.610
0.000,-0.400,1.706,-30.940,54.390,27.930
-0.009,-0.377,1.691,-25.690,39.760,34.230
-0.047,-0.364,1.672,-7.000,9.310,40.460
-0.061,-0.394,1.631,3.780,-16.870,49.630
-0.065,-0.418,1.597,8.260,-27.370,55.790
-0.089,-0.456,1.563,13.580,-46.760,59.850
-0.113,-0.496,1.496,18.690,-63.770,67.760
-0.117,-0.533,1.441,20.230,-70.560,69.160
-0.144,-0.594,1.405,15.540,-79.380,68.740
-0.163,-0.642,1.343,13.510,-86.240,66.290
-0.146,-0.673,1.301,8.610,-90.230,63.560
-0.065,-0.734,1.274,13.230,-101.710,55.790
-0.040,-0.775,1.212,16.310,-106.890,43.330
-0.040,-0.788,1.137,15.190,-112.840,35.000
-0.003,-0.813,1.098,14.210,-114.100,14.770
0.055,-0.812,1.036,12.810,-114.940,-8.750
0.177,-0.794,0.881,10.990,-118.300,-20.790
0.221,-0.715,0.924,8.260,-118.720,-42.560
0.236,-0.542,0.834,3.570,-117.460,-62.020
0.248,-0.557,0.793,-1.750,-112.210,-70.420
0.209,-0.419,0.697,-1.400,-102.200,-80.710
0.189,-0.359,0.626,4.900,-95.480,-84.000
0.127,-0.252,0.609,-1.190,-78.470,-89.880
0.094,-0.148,0.563,-5.810,-67.410,-88.900
0.097,-0.102,0.549,-9.800,-46.970,-85.330
0.099,-0.020,0.549,-8.750,-31.850,-73.010
0.081,0.046,0.537,-4.060,-24.850,-53.900
0.029,0.068,0.526,4.410,-8.610,-43.120
0.019,0.068,0.538,5.810,10.570,-24.290
0.015,0.061,0.577,3.080,19.600,-7.910
-0.013,0.032,0.598,0.630,36.960,-1.190
-0.032,-0.045,0.672,-1.680,53.060,8.540
-0.091,-0.085,0.751,-2.660,60.480,12.180
-0.143,-0.164,0.797,-3.990,72.730,15.960
-0.171,-0.226,0.883,-2.800,76.930,18.830
-0.196,-0.257,0.978,3.150,80.150,19.320
-0.160,-0.328,1.030,4.410,76.580,16.520
-0.158,-0.380,1.095,5.320,73.080,9.450
-0.166,-0.401,1.240,6.790,67.270,3.780
-0.167,-0.435,1.165,4.200,62.440,-11.760
-0.171,-0.437,1.200,-2.870,59.990,-28.700
-0.196,-0.409,1.215,-7.210,53.690,-36.400
-0.227,-0.349,1.234,-8.470,47.950,-50.540
-0.238,-0.315,1.248,-11.410,45.220,-57.190
-0.271,-0.230,1.247,-12.670,40.460,-67.340
-0.289,-0.142,1.244,-11.970,36.190,-73.780
-0.315,-0.102,1.254,-11.620,33.950,-75.180
-0.322,-0.018,1.261,-8.190,27.020,-72.730

-2.480,-1.965,-0.579,-95.060,281.120,-469.770
-2.466,-2.022,-0.605,-83.510,280.630,-501.340
-2.623,-2.034,-0.717,-60.830,281.470,-569.590
-2.543,-2.016,-0.777,-40.110,287.000,-641.550
-2.559,-1.919,-0.782,-41.930,298.200,-679.630
-2.566,-1.721,-0.784,-41.860,291.550,-752.990
-2.481,-1.598,-0.830,-4.690,285.530,-789.180
-2.313,-1.360,-0.825,-16.940,287.560,-863.310
-2.313,-1.078,-0.847,-37.240,312.970,-934.360
-2.340,-0.911,-0.881,-79.520,314.720,-964.600
-2.263,-0.607,-0.903,-90.090,327.390,-1018.850
-2.274,-0.317,-0.852,-103.110,325.850,-1076.670
-2.420,-0.143,-0.937,-141.750,338.100,-1098.440
-2.400,0.196,-0.980,-163.100,371.070,-1132.950
-2.386,0.535,-1.047,-197.470,391.790,-1152.340
-2.430,0.714,-1.055,-235.130,449.470,-1153.460
-2.478,1.059,-1.041,-269.850,534.730,-1139.110
-2.504,1.342,-1.005,-320.950,580.790,-1108.170
-2.562,1.478,-0.827,-328.090,664.020,-1085.700
-2.553,1.717,-0.746,-330.890,733.250,-1025.640
-2.503,1.878,-0.562,-352.170,767.410,-954.170
-2.434,1.926,-0.485,-364.770,832.930,-916.720
-2.352,2.033,-0.319,-368.900,899.920,-830.620
-2.302,2.063,-0.084,-377.090,929.320,-740.530
-2.163,2.051,0.038,-387.240,979.860,-697.200
-2.004,2.007,0.254,-389.550,1023.050,-612.360
-1.980,1.990,0.723,-411.740,1041.600,-517.090
-2.077,2.067,1.073,-751.520,1102.080,-454.370
-1.924,1.672,0.627,-735.000,1140.790,-388.430
-1.894,1.662,1.156,-608.370,1140.720,-299.880
-1.823,1.648,1.327,-586.810,1113.210,-251.090
-1.822,1.531,1.372,-544.600,1107.470,-159.950
-1.776,1.447,1.856,-644.700,1101.380,-84.000
-1.683,1.186,1.920,-714.140,1067.500,-50.190
-1.617,1.002,2.115,-741.230,1012.410,27.440
-1.350,0.867,2.161,-725.970,976.360,64.050
-1.071,0.578,2.211,-628.530,881.720,125.510
-0.939,0.258,2.366,-593.530,780.010,157.640
-0.804,0.117,2.327,-504.140,742.070,166.530
-0.791,-0.083,2.307,-337.610,646.380,178.430
-0.799,-0.227,2.382,-260.540,598.920,179.480
-0.795,-0.315,2.551,-162.190,513.800,169.610
-0.709,-0.487,2.628,-153.930,441.210,132.860
-0.646,-0.577,2.656,-172.760,405.370,96.040
-0.534,-0.579,2.607,-152.180,330.680,83.510
-0.467,-0.587,2.521,-131.530,256.690,61.460
-0.432,-0.609,2.451,-96.460,220.570,35.210
-0.398,-0.602,2.380,-79.730,158.200,21.910
-0.424,-0.521,2.185,-76.090,107.660,-0.700
-0.429,-0.473,1.984,-69.650,85.190,-21.700
-0.392,-0.375,1.888,-67.270,47.180,-31.220
-0.371,-0.250,1.703,-63.210,12.950,-43.190
-0.377,-0.188,1.528,-43.750,-2.940,-47.110
-0.386,-0.091,1.456,-35.210,-26.180,-54.600
-0.382,0.002,1.306,-33.880,-52.360,-59.220
-0.414,0.048,1.164,-27.020,-47.670,-59.850
-0.423,0.129,1.098,-24.570,-53.410,-58.030
-0.411,0.183,0.989,-23.310,-54.810,-52.990
-0.372,0.208,0.887,-18.200,-57.330,-49.140
-0.380,0.247,0.837,-15.750,-54.600,-41.020
-0.403,0.265,0.718,-14.140,-48.650,-35.980
-0.418,0.267,0.677,-17.570,-29.120,-35.140
-0.419,0.279,0.620,-20.300,-7.490,-33.250
-0.409,0.291,0.581,-19.110,3.640,-29.470
-0.389,0.306,0.580,-23.450,25.340,-28.210
-0.380,0.322,0.581,-28.280,46.130,-24.780
-0.381,0.332,0.574,-34.160,56.490,-18.620
-0.392,0.342,0.581,-41.720,77.840,-15.470
-0.389,0.345,0.608,-46.130,98.490,-7.840
-0.369,0.345,0.670,-51.660,107.030,-3.640
-0.378,0.326,0.711,-53.970,121.380,5.320
-0.393,0.287,0.804,-55.370,127.540,14.210
-0.407,0.263,0.886,-52.500,135.730,18.690
-0.460,0.224,0.921,-47.390,142.310,28.000
-0.480,0.168,1.024,-46.620,146.370,34.370
-0.461,0.141,1.111,-51.170,149.940,38.150
-0.457,0.101,1.140,-45.150,145.180,48.230
-0.453,0.040,1.226,-31.920,142.030,55.020
-0.435,-0.000,1.268,-33.390,135.170,56.350
-0.427,-0.067,1.332,-35.350,126.840,56.910
-0.416,-0.224,1.373,-35.420,121.940,56.700
-0.399,-0.150,1.394,-24.500,108.920,55.930
-0.361,-0.210,1.461,-21.840,95.830,49.560
-0.325,-0.241,1.529,-26.880,88.550,38.850
-0.203,-0.291,1.554,-26.810,67.970,32.620
-0.149,-0.316,1.585,-24.220,42.350,19.250
-0.117,-0.310,1.575,-20.020,31.010,13.440
-0.082,-0.291,1.569,-20.440,9.380,2.380
-0.055,-0.240,1.519,-19.950,-1.540,-4.270
-0.039,-0.200,1.423,-14.630,-18.410,-5.950
-0.020,-0.127,1.383,-14.840,-30.170,-7.630
-0.002,-0.065,1.297,-13.440,-34.370,-6.300
0.062,-0.042,1.269,-14.070,-42.350,-5.250
0.101,0.006,1.207,-15.050,-48.650,-1.540
0.102,0.032,1.138,-16.520,-49.980,6.580
0.111,0.064,1.105,-14.910,-52.360,11.130
0.110,0.072,1.047,-15.470,-51.590,20.650
0.090,0.073,0.980,-18.410,-49.770,26.320
0.045,0.065,0.944,-13.860,-43.120,38.850
0.031,0.022,0.905,-11.830,-21.140,50.890
-0.004,-0.007,0.889,-4.270,-30.520,56.700
-0.029,-0.082,0.902,-0.840,-22.330,66.290
-0.038,-0.173,0.952,-4.200,-18.480,72.660
-0.059,-0.213,0.968,-6.230,-13.440,75.810
-0.081,-0.297,0.999,-1.610,-12.250,80.500
-0.088,-0.469,1.048,2.170,-10.990,77.980
-0.105,-0.432,1.070,-3.220,-7.910,75.390
-0.106,-0.502,1.097,-3.150,-6.860,67.200
-0.102,-0.537,1.137,-1.540,-7.420,61.740
-0.080,-0.592,1.150,0.700,-10.570,47.600
-0.062,-0.649,1.167,4.060,-12.810,28.770
-0.007,-0.673,1.195,6.860,-19.180,17.360
0.051,-0.701,1.197,6.790,-26.950,-8.960
0.076,-0.684,1.183,7.280,-30.940,-36.190
0.108,-0.647,1.164,1.260,-36.960,-48.370
0.146,-0.539,1.101,-3.780,-39.340,-70.350
0.181,-0.476,1.033,-9.240,-41.020,-88.970
0.209,-0.343,0.996,-12.600,-41.090,-96.670
0.202,-0.206,0.937,-14.910,-39.200,-107.660

-2.811,-2.148,-0.241,-27.440,34.930,-685.020
-2.889,-2.082,-0.335,-18.900,12.810,-727.230
-2.942,-1.894,-0.481,-26.460,-4.060,-805.000
-3.059,-1.774,-0.645,-58.800,-12.250,-843.850
-3.091,-1.542,-0.764,-91.910,-16.240,-923.860
-3.066,-1.281,-0.980,-113.680,-8.750,-1007.650
-3.038,-1.124,-1.166,-164.500,20.370,-1047.830
-3.056,-0.755,-1.250,-203.000,64.820,-1122.730
-3.071,-0.354,-1.368,-227.220,90.510,-1187.060
-3.132,-0.142,-1.491,-257.320,157.360,-1212.960
-3.218,0.289,-1.499,-273.490,241.150,-1249.500
-3.258,0.718,-1.444,-327.390,287.280,-1258.460
-3.286,0.905,-1.416,-384.020,386.540,-1255.870
-3.270,1.229,-1.371,-406.070,491.960,-1239.770
-3.275,1.543,-1.197,-464.660,544.390,-1205.330
-3.245,1.691,-1.009,-519.890,650.370,-1177.960
-3.144,1.956,-0.983,-539.350,751.870,-1103.200
-3.091,2.144,-0.750,-586.950,800.590,-1011.080
-2.959,2.210,-0.637,-642.250,894.040,-958.510
-2.802,2.297,-0.391,-665.560,974.260,-842.940
-2.725,2.302,-0.129,-707.840,1008.560,-725.340
-2.613,2.258,-0.004,-734.650,1064.770,-668.290
-2.505,2.165,0.243,-741.510,1103.690,-557.410
