aX,aY,aZ,gX,gY,gZ
1.702,2.884,0.720,-54.040,-49.910,190.400
1.646,2.963,0.881,-36.890,-50.260,210.560
1.603,2.997,1.167,-30.240,-56.070,244.580
1.619,2.979,1.322,-30.800,-56.980,287.910
2.030,2.906,1.411,-86.590,-40.040,303.170
1.798,2.601,1.822,-94.850,-67.200,314.090
1.425,2.663,1.894,-88.970,-82.250,327.180
1.280,2.925,1.925,-59.850,-114.590,367.360
1.189,2.938,1.923,-41.300,-128.240,410.760
0.983,2.829,1.856,-10.150,-143.570,430.780
0.798,2.555,1.804,7.560,-146.300,465.010
0.685,2.144,1.721,20.160,-147.140,490.420
0.408,1.890,1.659,30.170,-157.220,499.310
0.106,1.224,1.551,32.410,-175.490,507.360
0.051,0.352,1.033,28.280,-179.130,504.910
0.009,-0.148,0.122,35.980,-183.260,502.390
0.031,-1.605,-0.651,42.210,-166.180,480.830
0.074,-3.754,-1.471,69.090,-156.380,403.270
0.650,-4.309,-1.540,-22.190,-106.610,391.160
1.016,-5.157,-0.918,-56.700,-97.230,290.710
0.769,-5.814,0.815,-108.780,-110.810,102.410
-0.111,-5.699,1.731,-219.100,-185.010,31.850
-0.945,-3.370,2.401,-232.260,-262.850,-15.610
-1.368,-2.418,1.694,-143.780,-283.080,-3.290
-2.185,-1.165,1.032,25.690,-273.980,15.750
-2.402,-0.609,-0.505,108.990,-208.670,59.780
-2.560,-0.769,-2.040,261.660,-163.030,67.550
-2.707,-1.194,-2.541,312.060,-61.950,90.650
-2.740,-1.831,-3.175,329.350,4.270,97.790
-2.568,-1.811,-3.317,233.660,48.370,127.960
-2.428,-2.182,-3.241,144.200,55.230,175.560
-2.250,-2.838,-2.893,87.150,34.930,198.380
-1.826,-3.256,-2.759,35.350,-25.200,186.340
-1.541,-3.776,-2.737,1.680,-86.030,127.610
-1.367,-3.485,-2.943,-57.680,-106.190,69.860
-0.889,-3.115,-3.269,-116.830,-115.920,52.430
-0.762,-2.429,-3.404,-133.840,-97.580,24.780
-0.826,-1.714,-3.627,-153.300,-65.590,6.160
-0.851,-1.226,-3.555,-125.090,3.570,4.410
-0.847,-0.425,-3.061,-93.870,56.910,11.480
-0.856,-0.124,-2.327,-29.890,76.720,25.830
-0.862,0.249,-1.946,15.890,111.020,33.740
-0.875,0.689,-0.992,30.520,116.060,62.790
-0.865,0.868,-0.321,58.520,110.390,101.220
-0.663,0.835,-0.211,105.490,110.600,115.220
-0.622,0.439,0.061,130.270,114.940,125.370
-0.379,0.364,0.126,170.450,140.910,144.410
-0.165,0.215,0.348,189.000,165.410,163.100
-0.263,-0.034,0.879,186.690,165.060,170.520
-0.270,-0.049,1.136,175.140,156.380,171.080
-0.213,-0.071,1.225,183.470,133.350,172.130
-0.222,-0.303,1.396,204.890,113.330,157.850
-0.184,-0.371,1.164,200.900,98.490,155.120
-0.173,-0.606,1.108,199.850,88.200,140.420
-0.176,-0.928,1.004,192.500,81.900,112.000
-0.184,-1.132,0.949,189.980,55.720,94.500
-0.004,-1.390,0.731,183.470,36.400,65.660
0.051,-1.610,0.486,169.190,29.260,39.130
0.090,-1.624,0.382,148.190,22.610,28.280
0.058,-1.622,0.273,136.360,17.990,13.650
0.043,-1.560,0.276,114.310,13.510,11.760
0.030,-1.391,0.286,91.140,0.140,13.790
0.019,-1.343,0.256,77.700,-15.330,16.730
0.008,-1.343,0.079,57.890,-20.860,16.100
0.006,-1.276,-0.024,45.010,-21.910,17.360
-0.004,-1.178,-0.157,39.480,-19.530,21.560
-0.010,-1.143,-0.184,35.000,-10.290,23.800
0.021,-1.103,-0.135,35.280,-2.660,25.970
0.025,-1.073,-0.050,36.820,1.190,24.990
0.045,-1.023,0.002,43.400,6.650,26.040
0.038,-0.961,0.065,50.050,12.250,26.250
0.023,-0.944,0.139,64.750,14.490,31.850
0.050,-0.921,0.137,84.140,18.900,28.140
0.007,-1.098,0.079,100.730,26.110,13.860
0.070,-1.078,0.146,118.160,28.420,11.760
0.188,-1.048,0.191,115.430,28.140,15.680
0.197,-1.192,0.259,108.360,24.780,16.450
0.235,-1.278,0.184,92.120,26.390,13.930
0.204,-1.372,0.139,92.960,35.700,7.770
0.231,-1.392,0.320,92.120,30.590,4.970
0.222,-1.440,0.370,79.800,21.140,1.120
0.165,-1.469,0.400,69.300,10.710,-4.620
0.160,-1.491,0.402,42.280,2.870,-11.480
0.142,-1.515,0.307,28.560,-4.550,-15.680
0.168,-1.531,0.214,18.620,-12.040,-23.940
0.143,-1.546,-0.011,0.630,-10.220,-31.500
0.131,-1.520,-0.069,-6.300,-9.730,-35.840
0.106,-1.562,-0.234,-6.440,0.700,-48.930
0.120,-1.518,-0.145,-16.730,-2.380,-51.940
0.074,-1.555,-0.216,-12.880,2.310,-72.870
0.024,-1.396,-0.279,-18.830,12.530,-77.070
0.090,-1.302,-0.180,-24.010,13.860,-77.000
0.064,-1.272,-0.182,-21.630,15.400,-78.400
0.043,-1.258,-0.119,-20.930,14.630,-81.550
0.019,-1.253,-0.090,-24.010,8.820,-82.390
0.055,-1.179,-0.133,-24.500,10.290,-79.380
